timestamp, count, name, pci.bus_id, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
2018/12/25 17:29:36.290, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 80 %, 54 %
2018/12/25 17:29:37.290, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 61 %
2018/12/25 17:29:38.290, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 59 %
2018/12/25 17:29:39.291, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 67 %
2018/12/25 17:29:40.291, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 86 %, 68 %
2018/12/25 17:29:41.291, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 65 %, 54 %
2018/12/25 17:29:42.292, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 71 %, 52 %
2018/12/25 17:29:43.292, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 66 %
2018/12/25 17:29:44.292, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 58 %
2018/12/25 17:29:45.292, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 70 %
2018/12/25 17:29:46.293, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 83 %, 67 %
2018/12/25 17:29:47.293, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 56 %
2018/12/25 17:29:48.293, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 78 %, 54 %
2018/12/25 17:29:49.294, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 55 %
2018/12/25 17:29:50.294, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 79 %, 54 %
2018/12/25 17:29:51.294, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 66 %
2018/12/25 17:29:52.295, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 58 %
2018/12/25 17:29:53.295, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 69 %
2018/12/25 17:29:54.295, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 90 %, 70 %
2018/12/25 17:29:55.295, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 65 %, 51 %
2018/12/25 17:29:56.296, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 64 %, 51 %
2018/12/25 17:29:57.296, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 98 %, 67 %
2018/12/25 17:29:58.296, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 58 %
2018/12/25 17:29:59.297, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 66 %
2018/12/25 17:30:00.298, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 98 %, 76 %
2018/12/25 17:30:01.298, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 65 %, 49 %
2018/12/25 17:30:02.299, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 53 %
2018/12/25 17:30:03.299, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 97 %, 66 %
2018/12/25 17:30:04.299, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 60 %
2018/12/25 17:30:05.300, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 65 %
2018/12/25 17:30:06.300, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 78 %
2018/12/25 17:30:07.300, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 64 %
2018/12/25 17:30:08.301, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 77 %
2018/12/25 17:30:09.301, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 65 %, 53 %
2018/12/25 17:30:10.301, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 11 %, 9 %
2018/12/25 17:30:11.302, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 97 %, 73 %
2018/12/25 17:30:12.302, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 64 %, 51 %
2018/12/25 17:30:13.302, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 67 %, 49 %
2018/12/25 17:30:14.302, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 67 %
2018/12/25 17:30:15.303, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 58 %
2018/12/25 17:30:16.303, 1, GeForce GTX 1060 6GB, 00000000:01:00.0, 6069 MiB, 4427 MiB, 100 %, 67 %
